prose,compression,seed,model,task,resolved,input,output,cacheRead,cacheWrite,cost
off,on,0,claude-sonnet-4-6,"astropy__astropy-12907",1,24,6378,552656,39448,0.40946879999999997
off,on,0,claude-sonnet-4-6,"astropy__astropy-13033",0,25,6258,592733,37071,0.41078115000000004
off,on,0,claude-sonnet-4-6,"django__django-10097",0,20,16032,536118,51206,0.5933979
off,on,0,claude-sonnet-4-6,"django__django-10554",0,,,,,
off,on,0,claude-sonnet-4-6,"matplotlib__matplotlib-13989",1,8,1732,114788,22980,0.1466154
off,on,0,claude-sonnet-4-6,"matplotlib__matplotlib-14623",1,31,8085,760842,40811,0.50266185
off,on,0,claude-sonnet-4-6,"mwaskom__seaborn-3069",1,57,20008,2428236,261389,2.00897055
off,on,0,claude-sonnet-4-6,"mwaskom__seaborn-3187",0,37,15713,994860,65970,0.7816515
off,on,0,claude-sonnet-4-6,"pallets__flask-5014",1,13,2121,203176,30055,0.20551304999999997
off,on,0,claude-sonnet-4-6,"psf__requests-1142",1,15,3749,269803,29287,0.24704715
off,on,0,claude-sonnet-4-6,"psf__requests-1724",1,7,1242,94695,27888,0.1516395
off,on,0,claude-sonnet-4-6,"pydata__xarray-2905",1,28,6622,637783,37636,0.43188390000000004
off,on,0,claude-sonnet-4-6,"pydata__xarray-3095",1,25,6352,514085,56335,0.46083675
off,on,0,claude-sonnet-4-6,"pylint-dev__pylint-4551",0,51,15378,1918559,86378,1.1303082
off,on,0,claude-sonnet-4-6,"pylint-dev__pylint-4604",0,50,8961,1273747,51941,0.71146785
off,on,0,claude-sonnet-4-6,"pytest-dev__pytest-10051",0,9,1824,128757,23621,0.15459285
off,on,0,claude-sonnet-4-6,"pytest-dev__pytest-10081",1,15,4972,292826,49382,0.3476553
off,on,0,claude-sonnet-4-6,"scikit-learn__scikit-learn-10297",1,12,3347,202635,29008,0.2198115
off,on,0,claude-sonnet-4-6,"sphinx-doc__sphinx-10323",0,,,,,
off,on,0,claude-sonnet-4-6,"sympy__sympy-11618",1,22,3754,404198,24041,0.26778915000000003
off,off,0,claude-sonnet-4-6,"astropy__astropy-12907",1,17,4637,347475,33398,0.299091
off,off,0,claude-sonnet-4-6,"astropy__astropy-13033",0,30,20030,823464,77432,0.8379492
off,off,0,claude-sonnet-4-6,"django__django-10097",0,27,28345,868156,65021,0.9295315500000001
off,off,0,claude-sonnet-4-6,"django__django-10554",0,,,,,
off,off,0,claude-sonnet-4-6,"matplotlib__matplotlib-13989",1,10,2486,157042,24095,0.17478885
off,off,0,claude-sonnet-4-6,"matplotlib__matplotlib-14623",1,25,6072,601697,41850,0.42860159999999997
off,off,0,claude-sonnet-4-6,"mwaskom__seaborn-3069",1,46,18639,1537098,174051,1.3935436499999998
off,off,0,claude-sonnet-4-6,"mwaskom__seaborn-3187",0,41,19203,1272290,127358,1.1474475
off,off,0,claude-sonnet-4-6,"pallets__flask-5014",1,13,2047,202872,29960,0.20395560000000001
off,off,0,claude-sonnet-4-6,"psf__requests-1142",1,9,3631,136729,28065,0.20075445
off,off,0,claude-sonnet-4-6,"psf__requests-1724",1,6,1079,73842,27676,0.1421406
off,off,0,claude-sonnet-4-6,"pydata__xarray-2905",0,,,,,
off,off,0,claude-sonnet-4-6,"pydata__xarray-3095",1,30,7028,649830,62727,0.53568525
off,off,0,claude-sonnet-4-6,"pylint-dev__pylint-4551",0,40,12914,1153899,88269,0.8710084499999999
off,off,0,claude-sonnet-4-6,"pylint-dev__pylint-4604",0,66,15042,2539736,147047,1.5391750499999999
off,off,0,claude-sonnet-4-6,"pytest-dev__pytest-10051",0,8,1739,109572,23209,0.14601435000000001
off,off,0,claude-sonnet-4-6,"pytest-dev__pytest-10081",1,14,7303,284535,48662,0.37743
off,off,0,claude-sonnet-4-6,"scikit-learn__scikit-learn-10297",1,12,2568,199792,26429,0.19760235
off,off,0,claude-sonnet-4-6,"sphinx-doc__sphinx-10323",0,54,24694,1916847,72650,1.2180636
off,off,0,claude-sonnet-4-6,"sympy__sympy-11618",1,37,7834,827665,70441,0.63007425
full,on,0,claude-sonnet-4-6,"astropy__astropy-12907",1,38,7540,983241,40446,0.5598588000000001
