tool,provider,model,task_id,difficulty,language,resolved,duration_ms,tokens_fresh,tokens_input,tokens_output,tokens_cache_read,tokens_cache_write,cost_usd,config_fingerprint,error
caveman,openai-codex,gpt-5.5,easy-py-01-add-docstrings,easy,python,true,19683,26983,26550,433,12288,0,0.07594200000000001,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,easy-py-01-add-docstrings,easy,python,true,49016,22768,22768,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,easy-py-02-fix-assertion,easy,python,false,17376,17023,16523,500,41472,0,0.0591755,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,easy-py-02-fix-assertion,easy,python,true,30656,40422,40422,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,easy-py-03-fix-import,easy,python,true,17516,14709,14502,207,50176,0,0.051904,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,easy-py-03-fix-import,easy,python,true,34442,41924,41924,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,easy-py-04-type-hints,easy,python,true,13469,25002,24719,283,13824,0,0.0694985,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,easy-py-04-type-hints,easy,python,true,31360,39901,39901,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,easy-ts-01-add-jsdoc,easy,typescript,true,14306,14530,14104,426,24576,0,0.047794,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,easy-ts-01-add-jsdoc,easy,typescript,true,29026,39409,39409,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,easy-ts-02-fix-type-error,easy,typescript,true,18653,14003,13871,132,24576,0,0.042801500000000006,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,easy-ts-02-fix-type-error,easy,typescript,true,114598,82732,82732,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,easy-ts-03-add-error-handling,easy,typescript,true,22065,15200,14455,745,24576,0,0.053456500000000004,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,easy-ts-03-add-error-handling,easy,typescript,true,96710,24674,24674,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,easy-ts-04-rename-variable,easy,typescript,true,9635,14281,13998,283,24576,0,0.045384,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,easy-ts-04-rename-variable,easy,typescript,true,38769,41425,41425,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,hard-py-01-async-refactor,hard,python,false,60672,21206,20186,1020,76800,0,0.08496500000000001,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,hard-py-01-async-refactor,hard,python,false,66447,35336,35336,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,hard-py-02-optimize-algorithm,hard,python,false,29290,22046,21110,936,40448,0,0.07692700000000001,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,hard-py-02-optimize-algorithm,hard,python,false,179073,88563,88563,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,hard-py-03-decorator-pattern,hard,python,false,19708,17198,16622,576,38912,0,0.059923000000000004,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,hard-py-03-decorator-pattern,hard,python,false,48019,32883,32883,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,hard-py-04-concurrent-fix,hard,python,false,39783,37568,36248,1320,78336,0,0.130004,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,hard-py-04-concurrent-fix,hard,python,false,60622,44832,44832,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,hard-ts-01-generic-refactor,hard,typescript,false,29436,14570,13621,949,39936,0,0.058271500000000004,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,hard-ts-01-generic-refactor,hard,typescript,false,59409,46576,46576,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,hard-ts-02-state-machine,hard,typescript,false,36098,16882,16204,678,64000,0,0.06668,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,hard-ts-02-state-machine,hard,typescript,false,59855,25869,25869,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,hard-ts-03-multi-file-refactor,hard,typescript,true,29262,33583,32757,826,40448,0,0.1043945,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,hard-ts-03-multi-file-refactor,hard,typescript,true,98176,57220,57220,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-py-01-refactor-class,medium,python,true,24321,27999,27285,714,26112,0,0.0854505,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,medium-py-01-refactor-class,medium,python,true,55336,34283,34283,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-py-02-fix-bug-with-test,medium,python,false,32655,32834,32385,449,62464,0,0.10331350000000002,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,medium-py-02-fix-bug-with-test,medium,python,false,51976,25740,25740,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-py-03-add-cli-arg,medium,python,false,11723,14465,14222,243,24576,0,0.04534400000000001,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,medium-py-03-add-cli-arg,medium,python,false,61158,42617,42617,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-py-04-fix-json-parser,medium,python,false,15255,16218,15760,458,37888,0,0.05574200000000001,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,medium-py-04-fix-json-parser,medium,python,false,45857,26265,26265,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-ts-01-extract-function,medium,typescript,false,29663,16188,15260,928,38400,0,0.06167000000000001,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,medium-ts-01-extract-function,medium,typescript,false,54324,15207,15207,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-ts-02-replace-api,medium,typescript,true,62031,38137,36239,1898,92160,0,0.14210750000000003,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,medium-ts-02-replace-api,medium,typescript,true,92378,54571,54571,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-ts-03-fix-failing-test,medium,typescript,true,21543,15893,15522,371,73216,0,0.06267400000000001,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,medium-ts-03-fix-failing-test,medium,typescript,true,147714,56068,56068,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-ts-04-create-module,medium,typescript,true,18403,13000,12634,366,26112,0,0.043603,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,medium-ts-04-create-module,medium,typescript,true,65255,26164,26164,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-ts-05-implement-interface,medium,typescript,true,29226,17349,16518,831,50176,0,0.066304,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,medium-ts-05-implement-interface,medium,typescript,true,35063,40523,40523,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-ts-06-wire-event-handler,medium,typescript,true,24976,27836,27148,688,39936,0,0.08817400000000002,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=xhigh",
codex,,gpt-5.5,medium-ts-06-wire-event-handler,medium,typescript,true,52248,24213,24213,0,,,,"sandbox=workspace-write,model=gpt-5.5",
