prose,compression,seed,model,task,resolved,input,output,cacheRead,cacheWrite,cost
off,on,0,gpt-4.1,"astropy__astropy-12907",0,127963,5135,1282304,0,0.938158
off,on,0,gpt-4.1,"astropy__astropy-13033",0,20981,1218,124032,0,0.113722
off,on,0,gpt-4.1,"django__django-10097",0,26105,955,398592,0,0.259146
off,on,0,gpt-4.1,"django__django-10554",0,38187,1610,875136,0,0.526822
off,on,0,gpt-4.1,"matplotlib__matplotlib-13989",1,39299,2005,544896,0,0.367086
off,on,0,gpt-4.1,"matplotlib__matplotlib-14623",0,54759,2124,518400,0,0.38571
off,on,0,gpt-4.1,"mwaskom__seaborn-3069",0,121071,2885,399232,0,0.464838
off,on,0,gpt-4.1,"mwaskom__seaborn-3187",0,110756,2236,725632,0,0.602216
off,on,0,gpt-4.1,"pallets__flask-5014",1,63124,1115,102912,0,0.186624
off,on,0,gpt-4.1,"psf__requests-1142",1,30471,1468,281984,0,0.213678
off,on,0,gpt-4.1,"psf__requests-1724",0,94166,1034,171008,0,0.282108
off,on,0,gpt-4.1,"pydata__xarray-2905",1,150686,2412,881024,0,0.76118
off,on,0,gpt-4.1,"pydata__xarray-3095",0,203209,1637,87040,0,0.463034
off,on,0,gpt-4.1,"pylint-dev__pylint-4551",0,72222,2306,378624,0,0.352204
off,on,0,gpt-4.1,"pylint-dev__pylint-4604",0,156360,2152,1488768,0,1.07432
off,on,0,gpt-4.1,"pytest-dev__pytest-10051",0,42464,1034,249600,0,0.218
off,on,0,gpt-4.1,"pytest-dev__pytest-10081",0,40867,1808,273664,0,0.23303
off,on,0,gpt-4.1,"scikit-learn__scikit-learn-10297",1,82935,1586,303616,0,0.330366
off,on,0,gpt-4.1,"sphinx-doc__sphinx-10323",0,21664,878,82560,0,0.091632
off,on,0,gpt-4.1,"sympy__sympy-11618",1,19266,858,118656,0,0.104724
off,off,0,gpt-4.1,"astropy__astropy-12907",0,118969,2285,400896,0,0.456666
off,off,0,gpt-4.1,"astropy__astropy-13033",0,53902,1282,216064,0,0.226092
off,off,0,gpt-4.1,"django__django-10097",0,37949,1836,366592,0,0.273882
off,off,0,gpt-4.1,"django__django-10554",0,62360,2348,995712,0,0.64136
off,off,0,gpt-4.1,"matplotlib__matplotlib-13989",0,22417,894,222848,0,0.16341
off,off,0,gpt-4.1,"matplotlib__matplotlib-14623",0,39944,2037,606976,0,0.399672
off,off,0,gpt-4.1,"mwaskom__seaborn-3069",0,49250,1496,307072,0,0.264004
off,off,0,gpt-4.1,"mwaskom__seaborn-3187",0,162282,5161,1201152,0,0.966428
off,off,0,gpt-4.1,"pallets__flask-5014",1,85263,942,108416,0,0.23227
off,off,0,gpt-4.1,"psf__requests-1142",1,63220,1858,247296,0,0.264952
off,off,0,gpt-4.1,"psf__requests-1724",0,73928,959,54528,0,0.182792
off,off,0,gpt-4.1,"pydata__xarray-2905",0,37478,816,160896,0,0.161932
off,off,0,gpt-4.1,"pydata__xarray-3095",0,253712,2036,211072,0,0.629248
off,off,0,gpt-4.1,"pylint-dev__pylint-4551",0,62024,2620,459392,0,0.374704
off,off,0,gpt-4.1,"pylint-dev__pylint-4604",0,44119,2149,913920,0,0.56239
off,off,0,gpt-4.1,"pytest-dev__pytest-10051",0,27765,1070,145664,0,0.136922
off,off,0,gpt-4.1,"pytest-dev__pytest-10081",0,36245,1996,296064,0,0.23649
off,off,0,gpt-4.1,"scikit-learn__scikit-learn-10297",1,58746,3502,474880,0,0.382948
off,off,0,gpt-4.1,"sphinx-doc__sphinx-10323",0,21936,829,131712,0,0.11636
off,off,0,gpt-4.1,"sympy__sympy-11618",1,22359,1035,267136,0,0.186566
full,on,0,gpt-4.1,"astropy__astropy-12907",0,172689,2506,1551104,0,1.140978
full,on,0,gpt-4.1,"astropy__astropy-13033",0,23601,956,162688,0,0.136194
full,on,0,gpt-4.1,"django__django-10097",0,60504,918,359680,0,0.308192
full,on,0,gpt-4.1,"django__django-10554",0,114668,1629,453888,0,0.469312
full,on,0,gpt-4.1,"matplotlib__matplotlib-13989",0,142688,2299,3221760,0,1.914648
full,on,0,gpt-4.1,"matplotlib__matplotlib-14623",1,139013,1380,365824,0,0.471978
full,on,0,gpt-4.1,"mwaskom__seaborn-3069",0,111959,1998,724352,0,0.602078
full,on,0,gpt-4.1,"mwaskom__seaborn-3187",0,143019,3239,1418496,0,1.021198
full,on,0,gpt-4.1,"pallets__flask-5014",1,37629,587,104704,0,0.132306
full,on,0,gpt-4.1,"psf__requests-1142",1,66430,999,311168,0,0.296436
full,on,0,gpt-4.1,"psf__requests-1724",0,120719,1379,278144,0,0.391542
full,on,0,gpt-4.1,"pydata__xarray-2905",1,412038,1967,722304,0,1.200964
full,on,0,gpt-4.1,"pydata__xarray-3095",0,1354285,8508,6516352,0,6.03481
full,on,0,gpt-4.1,"pylint-dev__pylint-4551",0,91875,2481,609792,0,0.508494
full,on,0,gpt-4.1,"pylint-dev__pylint-4604",0,44468,1267,1001472,0,0.599808
full,on,0,gpt-4.1,"pytest-dev__pytest-10051",0,42540,1316,445952,0,0.318584
full,on,0,gpt-4.1,"pytest-dev__pytest-10081",0,19444,715,100224,0,0.09472
full,on,0,gpt-4.1,"scikit-learn__scikit-learn-10297",1,103038,3115,524544,0,0.493268
full,on,0,gpt-4.1,"sphinx-doc__sphinx-10323",0,43011,1161,386176,0,0.288398
full,on,0,gpt-4.1,"sympy__sympy-11618",0,52760,525,140160,0,0.1798
full,off,0,gpt-4.1,"astropy__astropy-12907",1,36762,3496,496512,0,0.349748
full,off,0,gpt-4.1,"astropy__astropy-13033",0,33779,2682,364672,0,0.27135
full,off,0,gpt-4.1,"django__django-10097",0,41694,2236,367872,0,0.285212
full,off,0,gpt-4.1,"django__django-10554",0,47475,2272,675968,0,0.45111
full,off,0,gpt-4.1,"matplotlib__matplotlib-13989",0,281218,2722,3249536,0,2.20898
full,off,0,gpt-4.1,"matplotlib__matplotlib-14623",0,19991,707,237184,0,0.16423
full,off,0,gpt-4.1,"mwaskom__seaborn-3069",1,50899,2581,481024,0,0.362958
full,off,0,gpt-4.1,"mwaskom__seaborn-3187",0,107352,1516,758016,0,0.60584
full,off,0,gpt-4.1,"pallets__flask-5014",1,41630,1494,103808,0,0.147116
full,off,0,gpt-4.1,"psf__requests-1142",1,53122,1496,98816,0,0.16762
full,off,0,gpt-4.1,"psf__requests-1724",0,74973,687,226304,0,0.268594
full,off,0,gpt-4.1,"pydata__xarray-2905",0,44611,983,554496,0,0.374334
full,off,0,gpt-4.1,"pydata__xarray-3095",0,374191,2596,279808,0,0.909054
full,off,0,gpt-4.1,"pylint-dev__pylint-4551",0,99949,2348,963072,0,0.700218
