tool,provider,model,task_id,difficulty,language,resolved,duration_ms,tokens_fresh,tokens_input,tokens_output,tokens_cache_read,tokens_cache_write,cost_usd,config_fingerprint,error
caveman,openai-codex,gpt-5.5,easy-py-01-add-docstrings,easy,python,true,13157,13139,12719,420,26112,0,0.0446255,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,easy-py-01-add-docstrings,easy,python,true,112842,61287,61287,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,easy-py-02-fix-assertion,easy,python,false,19896,15639,15306,333,64512,0,0.05938800000000001,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,easy-py-02-fix-assertion,easy,python,true,44385,61163,61163,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,easy-py-03-fix-import,easy,python,true,13065,14797,14561,236,50176,0,0.05248649999999999,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,easy-py-03-fix-import,easy,python,true,24562,20851,20851,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,easy-py-04-type-hints,easy,python,true,9727,14249,13971,278,24576,0,0.045241500000000004,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,easy-py-04-type-hints,easy,python,true,39001,58221,58221,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,easy-ts-01-add-jsdoc,easy,typescript,true,16217,26847,26397,450,12288,0,0.0758145,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,easy-ts-01-add-jsdoc,easy,typescript,true,34712,44676,44676,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,easy-ts-02-fix-type-error,easy,typescript,true,10327,13961,13860,101,24576,0,0.042309,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,easy-ts-02-fix-type-error,easy,typescript,true,116767,44969,44969,0,,,,"sandbox=workspace-write,model=gpt-5.5",
